Fecha,ID_Cliente,ID_Producto,Cantidad,Precio,Region,Nombre_Producto,Categoria,Tipo_Cliente,Monto_Total
12-08-2024,C004,P004,16,50,Este,Monitor,Computo,Distribuidor,800
25-01-2024,C004,P002,8,500,Sur,Mouse,Accesorios,Distribuidor,4000
10-11-2024,C001,P002,4,200,Centro,Mouse,Accesorios,Retail,800
18-10-2024,C002,P001,5,200,Norte,Laptop,Computo,Corporativo,1000
21-01-2024,C003,P005,16,100,Centro,Audifonos,Audio,Online,1600
13-12-2024,C003,P005,1,100,Este,Audifonos,Audio,Online,100
11-04-2024,C004,P004,11,100,Este,Monitor,Computo,Distribuidor,1100
3-09-2024,C005,P002,18,300,Sur,Mouse,Accesorios,Mayorista,5400
8-04-2024,C005,P004,13,100,Centro,Monitor,Computo,Mayorista,1300
1-04-2024,C003,P003,19,200,Centro,Teclado,Accesorios,Online,3800
2-07-2024,C005,P003,15,100,Sur,Teclado,Accesorios,Mayorista,1500
4-08-2024,C003,P001,5,300,Centro,Laptop,Computo,Online,1500
13-05-2024,C001,P003,11,150,Norte,Teclado,Accesorios,Retail,1650
29-03-2024,C002,P005,9,500,Centro,Audifonos,Audio,Corporativo,4500
28-03-2024,C005,P003,12,300,Centro,Teclado,Accesorios,Mayorista,3600
15-01-2024,C004,P004,16,300,Sur,Monitor,Computo,Distribuidor,4800
13-05-2024,C003,P003,19,200,Norte,Teclado,Accesorios,Online,3800
2-12-2024,C005,P004,15,50,Sur,Monitor,Computo,Mayorista,750
7-07-2024,C001,P002,18,300,Centro,Mouse,Accesorios,Retail,5400
26-07-2024,C002,P001,9,50,Este,Laptop,Computo,Corporativo,450
10-10-2024,C005,P003,16,50,Centro,Teclado,Accesorios,Mayorista,800
16-04-2024,C001,P001,14,150,Norte,Laptop,Computo,Retail,2100
26-12-2024,C002,P002,20,150,Norte,Mouse,Accesorios,Corporativo,3000
18-03-2024,C005,P005,3,150,Norte,Audifonos,Audio,Mayorista,450
22-04-2024,C003,P003,1,50,Este,Teclado,Accesorios,Online,50
29-01-2024,C005,P003,3,50,Norte,Teclado,Accesorios,Mayorista,150
1-07-2024,C003,P005,18,200,Este,Audifonos,Audio,Online,3600
7-01-2024,C004,P002,2,300,Sur,Mouse,Accesorios,Distribuidor,600
4-11-2024,C002,P001,1,300,Este,Laptop,Computo,Corporativo,300
1-12-2024,C002,P002,7,150,Norte,Mouse,Accesorios,Corporativo,1050
6-08-2024,C004,P004,12,200,Este,Monitor,Computo,Distribuidor,2400
2-03-2024,C003,P001,13,500,Centro,Laptop,Computo,Online,6500
27-11-2024,C003,P001,16,150,Sur,Laptop,Computo,Online,2400
7-06-2024,C004,P004,7,50,Este,Monitor,Computo,Distribuidor,350
21-02-2024,C002,P004,7,100,Sur,Monitor,Computo,Corporativo,700
8-07-2024,C004,P002,10,500,Norte,Mouse,Accesorios,Distribuidor,5000
16-11-2024,C002,P001,13,500,Oeste,Laptop,Computo,Corporativo,6500
3-02-2024,C001,P003,1,500,Sur,Teclado,Accesorios,Retail,500
10-03-2024,C002,P004,19,150,Centro,Monitor,Computo,Corporativo,2850
9-03-2024,C005,P004,16,50,Sur,Monitor,Computo,Mayorista,800
24-08-2024,C001,P003,15,150,Este,Teclado,Accesorios,Retail,2250
13-03-2024,C002,P002,12,50,Este,Mouse,Accesorios,Corporativo,600
15-09-2024,C003,P003,3,200,Norte,Teclado,Accesorios,Online,600
10-11-2024,C001,P005,2,500,Norte,Audifonos,Audio,Retail,1000
18-07-2024,C004,P003,10,150,Este,Teclado,Accesorios,Distribuidor,1500
26-06-2024,C002,P004,15,500,Centro,Monitor,Computo,Corporativo,7500
14-08-2024,C003,P005,20,500,Sur,Audifonos,Audio,Online,10000
27-07-2024,C003,P001,14,150,Sur,Laptop,Computo,Online,2100
18-09-2024,C002,P002,9,50,Centro,Mouse,Accesorios,Corporativo,450
24-03-2024,C001,P003,19,300,Centro,Teclado,Accesorios,Retail,5700
2-05-2024,C004,P001,9,200,Este,Laptop,Computo,Distribuidor,1800
