Fecha,ID_Cliente,ID_Producto,Cantidad,Precio,Region,Nombre_Producto,Categoria,Tipo_Cliente
12-08-2024,C004,P004,16,50,Este,Monitor,Computo,Distribuidor
25-01-2024,C004,P002,8,500,Sur,Mouse,Accesorios,Distribuidor
10-11-2024,C001,P002,4,200,Centro,Mouse,Accesorios,Retail
18-10-2024,C002,P001,5,200,Norte,Laptop,Computo,Corporativo
21-01-2024,C003,P005,16,100,Centro,Audifonos,Audio,Online
13-12-2024,C003,P005,1,100,Este,Audifonos,Audio,Online
11-04-2024,C004,P004,11,100,Este,Monitor,Computo,Distribuidor
3-09-2024,C005,P002,18,300,Sur,Mouse,Accesorios,Mayorista
8-04-2024,C005,P004,13,100,Centro,Monitor,Computo,Mayorista
1-04-2024,C003,P003,19,200,Centro,Teclado,Accesorios,Online
2-07-2024,C005,P003,15,100,Sur,Teclado,Accesorios,Mayorista
4-08-2024,C003,P001,5,300,Centro,Laptop,Computo,Online
13-05-2024,C001,P003,11,150,Norte,Teclado,Accesorios,Retail
29-03-2024,C002,P005,9,500,Centro,Audifonos,Audio,Corporativo
28-03-2024,C005,P003,12,300,Centro,Teclado,Accesorios,Mayorista
15-01-2024,C004,P004,16,300,Sur,Monitor,Computo,Distribuidor
13-05-2024,C003,P003,19,200,Norte,Teclado,Accesorios,Online
2-12-2024,C005,P004,15,50,Sur,Monitor,Computo,Mayorista
7-07-2024,C001,P002,18,300,Centro,Mouse,Accesorios,Retail
26-07-2024,C002,P001,9,50,Este,Laptop,Computo,Corporativo
10-10-2024,C005,P003,16,50,Centro,Teclado,Accesorios,Mayorista
16-04-2024,C001,P001,14,150,Norte,Laptop,Computo,Retail
26-12-2024,C002,P002,20,150,Norte,Mouse,Accesorios,Corporativo
18-03-2024,C005,P005,3,150,Norte,Audifonos,Audio,Mayorista
22-04-2024,C003,P003,1,50,Este,Teclado,Accesorios,Online
29-01-2024,C005,P003,3,50,Norte,Teclado,Accesorios,Mayorista
1-07-2024,C003,P005,18,200,Este,Audifonos,Audio,Online
7-01-2024,C004,P002,2,300,Sur,Mouse,Accesorios,Distribuidor
4-11-2024,C002,P001,1,300,Este,Laptop,Computo,Corporativo
1-12-2024,C002,P002,7,150,Norte,Mouse,Accesorios,Corporativo
